ID,Max Velocity(km/h),Min Velocity(km/h),Avg Velocity(km/h)
0001,57.3,38.4,47.6
0002,51.2,0.0,37.5
0003,40.5,13.3,33.0
0004,66.9,4.3,56.5
0005,21.8,2.0,9.7
0006,60.1,34.9,54.2
0007,43.6,18.9,35.6
0008,64.2,35.4,48.7
0009,31.5,0.0,4.3
0010,10.6,2.6,7.5
0012,52.3,3.1,35.8
0013,30.0,0.3,15.8
0014,65.2,33.7,53.8
0015,1.1,0.0,0.4
0016,28.9,0.0,7.0
0017,56.9,8.7,46.9
0018,21.7,4.4,17.2
0019,52.3,14.6,32.6
0021,53.9,4.6,43.3
0022,19.6,0.0,12.2
0023,0.8,0.3,0.5
0024,7.1,0.0,4.9
0025,48.3,0.0,9.1
0026,58.4,15.7,24.2
0028,149.2,0.5,24.6
0029,30.5,9.2,18.2
0030,48.1,0.1,7.7
0031,30.6,0.0,15.3
0032,77.1,15.6,31.6
0033,1.7,0.0,0.9
0034,47.9,7.9,25.7
0035,25.6,0.0,3.8
0036,39.3,21.5,36.0
0037,51.4,11.8,24.1
0038,38.4,0.0,26.9
0039,36.8,20.3,30.9
0040,30.4,8.6,23.6
0041,38.0,0.0,23.7
0042,41.0,0.0,25.3
0043,62.6,54.5,58.6
0044,47.3,31.6,39.5
0045,0.0,0.0,0.0
0047,54.5,0.0,10.0
0048,24.6,19.7,21.6
0049,63.1,12.6,27.1
0050,26.4,13.3,22.7
0051,58.3,0.0,15.3
0052,52.3,16.5,22.7
0053,53.6,15.3,27.2
0054,22.6,0.0,17.4
0055,35.1,14.1,26.0
0057,43.6,10.9,25.2
0058,34.2,7.0,19.6
0059,33.8,33.8,33.8
0060,48.7,2.3,31.7
0061,45.2,0.0,29.8
0063,14.5,1.6,9.9
0064,46.3,0.0,30.9
0065,35.2,1.5,16.6
0066,7.6,5.7,6.6
0067,58.2,43.9,51.1
0068,49.1,6.1,33.0
0069,35.8,17.0,28.7
0070,60.1,29.9,41.5
0071,37.6,0.0,26.4
0073,33.5,24.6,27.4
0074,61.2,3.1,35.4
0075,8.1,8.1,8.1
0076,38.5,2.3,22.9
0077,105.8,23.1,61.4
0079,46.5,8.8,35.6
0080,50.1,1.6,36.2
0081,51.9,28.3,40.1
0082,43.4,6.7,31.3
0083,45.2,15.2,26.4
0084,42.8,0.0,30.3
0085,37.1,5.9,29.7
0086,11.1,0.0,6.4
0087,52.8,26.5,38.4
0088,50.4,33.3,41.0
0089,62.3,27.3,39.7
0090,55.1,31.3,40.5
0091,32.9,26.1,29.4
0093,58.9,33.2,51.0
0094,53.7,0.0,43.0
0095,31.3,7.4,24.6
0096,50.9,4.0,43.8
0097,50.8,0.0,7.3
0098,56.6,28.7,48.8
0099,26.3,24.2,25.3
0100,60.9,34.9,52.8
0101,36.3,0.0,30.7
0103,17.9,17.9,17.9
0104,93.1,40.2,46.1
0105,32.5,3.7,17.5
0106,51.0,4.3,32.5
0107,62.9,35.2,46.7
0108,41.6,8.8,34.2
0109,21.0,21.0,21.0
0110,7.0,0.0,4.4
0111,26.2,1.4,13.2
0112,54.6,31.1,45.1
0114,51.7,27.5,42.2
0115,51.8,33.9,42.5
0116,18.2,0.0,7.2
0117,35.9,35.7,35.8
0118,49.2,33.3,42.7
0119,35.3,4.2,16.8
0120,60.4,27.1,44.8
0121,10.9,0.0,6.4
0122,58.8,42.4,50.2
0123,39.7,5.9,32.7
0124,86.8,12.4,52.7
0125,10.8,0.1,3.6
0126,13.8,0.0,5.4
0127,44.0,35.9,40.4
0129,60.0,36.3,49.8
0130,32.1,3.7,20.3
0131,20.8,0.6,5.9
0132,1.8,0.0,0.9
0133,69.7,42.6,59.5
0134,34.3,2.9,17.8
0135,71.8,44.7,59.4
0136,31.3,4.4,24.3
0137,55.9,0.0,9.5
0138,24.1,0.0,4.5
0139,18.2,0.0,10.3
0140,38.5,8.8,29.7
0141,29.0,5.4,20.4
0142,24.4,0.9,5.2
0143,17.8,6.0,14.0
0144,45.1,1.7,20.8
0145,43.4,30.6,37.7
0146,39.1,12.0,32.5
0147,37.3,5.2,29.2
0148,27.5,0.0,16.4
0149,38.4,2.0,22.0
0150,2.1,2.1,2.1
0151,36.7,8.7,23.0
0152,43.7,9.2,24.9
0153,21.9,11.0,14.6
0154,17.9,6.6,9.9
0155,88.1,19.5,32.4
0156,50.3,5.9,33.4
0157,46.9,12.2,27.5
0158,44.8,2.9,33.5
0159,18.7,7.4,10.7
0160,16.5,0.0,7.9
0161,40.0,4.1,33.4
0162,38.3,4.0,28.9
0163,39.6,4.4,30.1
0164,47.0,0.0,26.7
0165,39.2,4.3,25.6
0166,40.4,0.0,7.7
0167,36.0,10.3,22.5
0168,34.6,14.2,24.9
0169,30.7,4.2,19.8
0170,37.2,0.0,13.1
0171,30.5,0.0,18.1
0172,1.9,1.9,1.9
0173,1.6,0.0,1.0
0174,29.2,29.0,29.1
0175,38.3,8.5,24.0
0176,26.8,0.0,17.9
0177,25.2,19.0,21.9
0178,43.7,4.1,33.4
0179,45.6,38.7,40.3
0180,55.8,18.6,33.4
0181,51.1,30.1,37.9
0182,31.3,2.6,25.7
0183,13.0,9.0,11.0
0184,49.0,5.4,31.1
0185,69.5,4.7,51.7
0186,22.3,22.3,22.3
0187,58.7,29.5,48.8
0188,22.0,21.9,21.9
0189,63.0,7.9,47.7
0190,47.0,23.2,39.8
0191,40.2,5.0,12.7
0192,48.6,3.1,34.5
0193,22.1,3.5,8.3
0194,60.2,20.2,38.2
0195,58.1,3.1,41.4
0196,86.5,39.6,54.9
0197,81.8,25.8,45.4
0198,67.8,44.9,54.5
0199,76.9,8.9,36.7
0200,9.2,0.0,4.6
0201,70.9,29.7,41.0
0202,49.4,2.4,34.9
0203,55.4,31.9,43.0
0204,47.5,28.2,38.0
0205,50.3,0.0,34.3
0206,53.6,8.7,40.0
0207,51.7,4.3,39.9
0208,11.9,0.0,4.7
0209,43.0,4.7,28.1
