ID,Max Velocity(km/h),Min Velocity(km/h),Avg Velocity(km/h)
0001,63.9,36.0,52.6
0002,74.2,45.2,65.4
0003,21.1,0.0,15.8
0004,29.5,5.7,21.5
0005,18.6,11.7,15.8
0006,51.5,0.0,16.7
0007,22.5,12.4,17.7
0008,56.2,1.8,13.6
0009,38.2,0.0,14.1
0010,43.5,0.0,13.6
0011,80.6,2.5,14.5
0012,87.6,20.7,67.1
0013,20.6,13.8,17.2
0014,37.7,13.3,16.1
0015,60.5,15.4,38.6
0016,53.9,14.3,40.3
0017,16.1,10.1,12.0
0018,90.2,7.1,63.3
0019,84.7,34.8,58.8
0020,68.9,0.0,18.0
0022,97.5,97.5,97.5
0023,82.6,34.5,60.1
0024,97.1,25.5,62.4
0027,6.7,0.0,3.4
0028,11.0,11.0,11.0
0029,65.1,21.3,46.7
0030,17.9,0.0,2.8
0031,15.5,15.5,15.5
0032,77.2,39.3,55.9
0033,25.0,0.0,11.4
0034,18.8,2.2,13.1
0035,81.6,0.0,36.2
0036,19.9,16.3,17.7
0037,73.6,32.4,49.0
0038,71.0,34.8,47.7
0039,87.7,30.8,55.2
0040,29.8,29.4,29.7
0041,71.2,30.0,47.3
0042,66.4,0.0,11.1
0043,57.3,38.0,45.2
0044,48.5,32.6,41.8
0045,92.4,34.1,58.9
0046,86.8,28.9,50.5
0047,9.9,0.0,4.5
0048,37.0,0.4,5.6
0049,47.4,43.3,45.3
0050,53.4,0.0,19.0
0052,86.6,12.3,55.6
0053,8.9,0.0,3.4
0054,6.7,1.6,3.1
0055,95.1,22.4,56.4
0056,81.2,9.9,53.1
0057,31.3,16.0,25.7
0058,50.8,15.4,42.1
0059,74.6,4.1,52.6
0060,9.1,4.2,6.1
0061,20.5,20.5,20.5
0062,33.4,18.1,24.9
0063,81.0,10.7,45.6
0064,58.3,17.4,37.5
0065,69.2,16.1,40.0
0067,58.9,12.3,42.5
0068,72.4,8.5,47.7
0069,80.1,34.7,60.1
0070,59.5,7.7,38.1
0071,30.1,4.3,17.2
0072,41.0,40.9,40.9
0073,57.1,1.2,10.1
0074,35.8,22.0,26.6
