start_sec,end_sec,NE_straight,NE_left,NW_straight,NW_left,SE_straight,SE_left,SW_straight,SW_left
1557.0,1632.0,GREEN,RED,RED,RED,RED,RED,GREEN,RED
1632.0,1637.0,YELLOW,RED,RED,RED,RED,RED,YELLOW,RED
1637.0,1639.0,RED,RED,RED,RED,RED,RED,RED,RED
1639.0,1663.0,RED,GREEN,RED,RED,RED,RED,RED,GREEN
1663.0,1667.0,RED,YELLOW,RED,RED,RED,RED,RED,YELLOW
1667.0,1712.0,RED,RED,GREEN,RED,GREEN,RED,RED,RED
1712.0,1717.0,RED,RED,YELLOW,RED,YELLOW,RED,RED,RED
1717.0,1719.0,RED,RED,RED,RED,RED,RED,RED,RED
1719.0,1743.0,RED,RED,RED,GREEN,RED,GREEN,RED,RED
1743.0,1747.0,RED,RED,RED,YELLOW,RED,YELLOW,RED,RED
1747.0,1800.0,GREEN,RED,RED,RED,RED,RED,GREEN,RED
