start_sec,end_sec,NE_straight,NE_left,SW_straight,SW_left,crosswalk
0.0,30.0,GREEN,OFF,GREEN,RED,RED
30.0,33.0,YELLOW,OFF,YELLOW,RED,RED
33.0,33.2,RED,OFF,RED,RED,RED
33.2,72.2,RED,OFF,RED,GREEN,GREEN
72.2,75.2,RED,OFF,RED,YELLOW,RED
75.2,160.0,GREEN,OFF,GREEN,RED,RED
160.0,164.0,YELLOW,OFF,YELLOW,RED,RED
164.0,164.2,RED,OFF,RED,RED,RED
164.2,202.2,RED,OFF,RED,GREEN,GREEN
202.2,205.2,RED,OFF,RED,YELLOW,RED
205.2,291.0,GREEN,OFF,GREEN,RED,RED
291.0,294.0,YELLOW,OFF,YELLOW,RED,RED
294.0,294.2,RED,OFF,RED,RED,RED
294.2,331.2,RED,OFF,RED,GREEN,GREEN
331.2,334.2,RED,OFF,RED,YELLOW,RED
334.2,420.0,GREEN,OFF,GREEN,RED,RED
420.0,423.0,YELLOW,OFF,YELLOW,RED,RED
423.0,423.2,RED,OFF,RED,RED,RED
423.2,461.2,RED,OFF,RED,GREEN,GREEN
461.2,464.2,RED,OFF,RED,YELLOW,RED
464.2,550.0,GREEN,OFF,GREEN,RED,RED
550.0,553.0,YELLOW,OFF,YELLOW,RED,RED
553.0,553.2,RED,OFF,RED,RED,RED
553.2,592.2,RED,OFF,RED,GREEN,GREEN
592.2,595.2,RED,OFF,RED,YELLOW,RED
595.2,600.0,GREEN,OFF,GREEN,RED,RED
