ID,start_frame,end_frame
0985,13327,13364
0985,13368,13368
0985,13370,13384
0985,13387,13396
0985,13400,13402
0985,13422,13426
0985,13431,13448
0985,13452,13457
0985,13462,13472
0985,13477,13503
0985,13637,13647
0985,13685,13687
0985,13702,13710
0985,13714,13716
0985,13778,13781
0985,13798,13847
0985,13870,13870
0985,13873,13874
0985,13876,13876
0985,13878,13887
0985,13898,13901
0985,13914,13972
0985,13977,13977
0985,14000,14003
0985,14005,14054
0985,14056,14123
0985,14127,14130
0985,14158,14249
0985,14498,14504
0985,14533,14654
0985,14661,14669
0985,14680,14682
0985,14686,14702
0985,14766,14797
0985,14815,14815
0985,14821,14823
0985,14906,14910
0985,14914,14914
0985,14938,14941
