ID,Max Velocity(km/h),Min Velocity(km/h),Avg Velocity(km/h)
0224,96.7,8.8,70.2
0225,113.0,15.4,65.8
0227,49.2,18.8,44.3
0228,61.9,13.9,50.1
0229,79.9,23.8,59.8
0230,24.4,0.0,11.7
0232,80.3,70.4,76.4
0233,57.9,46.8,53.9
0234,66.1,8.3,47.7
0235,89.7,48.7,82.0
0236,116.2,19.6,77.5
0237,78.6,38.3,53.4
0238,52.3,37.3,48.0
0239,64.9,11.8,48.0
0240,96.2,0.0,35.9
0241,57.3,35.0,48.1
0242,52.8,0.0,22.6
0243,92.7,14.3,70.0
0244,75.6,7.6,56.1
0245,104.7,56.2,77.9
0246,61.4,8.0,49.4
0247,80.7,11.4,60.4
0248,95.0,39.2,67.7
0249,97.3,4.2,76.0
0250,79.3,10.4,60.3
0251,104.3,14.6,61.8
0252,136.6,16.3,68.0
0253,62.1,41.1,53.5
0254,58.3,5.4,29.8
0255,52.9,29.6,46.1
0256,95.4,18.6,71.2
0257,84.6,12.3,55.3
0258,74.6,0.0,46.2
0259,36.7,4.2,11.1
0260,63.6,11.3,43.1
0261,46.1,10.4,39.4
0263,22.2,0.0,2.3
0264,91.1,45.7,66.4
0265,140.0,61.8,96.8
0266,118.7,73.6,82.5
0267,82.3,30.4,60.1
0268,50.8,44.2,48.7
0269,75.9,55.4,64.3
0270,92.4,52.8,65.8
0272,80.7,48.4,70.5
0273,61.9,25.4,46.7
0274,114.3,17.9,78.1
0275,73.3,35.0,52.3
0276,52.3,48.7,50.5
0277,90.9,26.5,64.1
0278,76.7,0.0,5.9
0279,71.1,40.3,55.6
0280,41.6,2.4,18.0
0281,103.0,0.0,7.7
0282,89.5,4.2,69.0
0283,68.0,28.8,56.6
0284,106.4,24.6,79.1
0285,65.5,15.9,51.3
0286,55.1,0.0,4.1
0287,88.7,59.8,74.0
0288,70.1,31.1,55.4
0290,32.2,0.0,23.0
0291,120.3,8.6,40.2
0292,38.5,0.0,28.7
0293,50.4,9.8,25.3
0294,57.6,57.6,57.6
0295,55.7,18.4,37.0
0296,35.8,5.0,29.9
0297,95.9,2.3,26.7
0298,34.4,4.6,24.8
0299,27.1,0.0,20.5
0300,35.2,5.6,26.0
0301,34.2,19.8,27.3
0302,45.5,20.1,28.8
0303,43.6,5.2,33.8
0304,78.1,30.4,38.6
0305,15.9,0.0,8.9
0306,31.5,0.3,6.3
0307,33.6,5.5,24.0
0308,89.4,0.0,42.1
0309,34.2,4.2,23.6
0310,38.1,14.7,21.1
0311,38.3,0.0,23.9
0312,105.6,9.0,41.1
0313,60.7,0.0,6.6
0314,33.2,0.0,26.3
0315,37.9,0.0,18.8
0316,61.4,7.6,40.9
0317,21.6,2.3,10.8
0318,44.0,2.8,34.4
0319,47.1,13.1,40.9
0320,32.3,2.8,7.7
0321,30.2,4.2,21.9
0322,10.5,10.5,10.5
0323,17.6,7.7,13.6
0324,35.0,27.9,31.2
