ID,Max Velocity(km/h),Min Velocity(km/h),Avg Velocity(km/h)
0001,33.8,0.0,5.0
0002,20.9,4.6,17.5
0003,38.5,19.9,32.9
0004,35.0,2.0,24.5
0005,12.8,0.0,2.9
0006,43.8,32.5,38.1
0007,30.6,20.7,25.6
0008,49.9,49.4,49.6
0009,42.3,4.2,25.3
0010,48.1,28.1,34.5
0011,45.3,3.2,26.3
0012,34.8,16.0,28.7
0013,29.7,0.0,21.6
0014,44.9,0.0,31.2
0015,46.6,0.0,33.8
0016,16.7,12.5,13.7
0017,45.5,25.8,40.4
0018,46.7,4.3,34.5
0019,23.0,23.0,23.0
0020,13.6,7.9,10.2
0021,41.5,9.8,27.7
0022,64.7,64.1,64.4
0023,51.6,4.4,40.3
0024,34.9,25.6,30.3
0025,57.9,8.2,51.1
0026,33.9,0.0,27.1
0027,29.0,10.0,25.1
0028,47.8,25.6,35.9
0029,64.7,8.9,45.1
0030,37.0,18.5,24.7
0031,32.2,4.5,24.0
0032,46.6,25.2,34.4
0033,30.5,4.5,22.5
0034,34.1,18.6,29.1
0035,30.4,2.3,22.9
0036,60.7,0.0,31.4
0037,33.0,9.0,25.8
0038,42.0,23.5,35.1
0039,43.0,19.8,34.5
0040,65.7,47.8,54.7
0041,80.8,26.7,36.5
0042,22.1,1.8,14.5
0043,58.6,41.0,46.6
0044,50.5,33.3,45.6
0045,53.2,0.0,7.2
0046,26.9,19.2,23.5
0047,56.2,0.1,10.3
0048,43.6,19.6,30.5
0049,59.8,40.1,52.4
0050,70.6,55.7,64.3
0051,84.4,48.3,56.6
0052,29.4,4.2,13.5
0053,56.0,32.2,47.3
0054,64.8,4.2,50.0
0055,62.8,33.8,51.9
0056,23.7,0.0,12.5
0057,36.5,21.9,30.5
0058,53.4,4.2,46.6
0059,56.5,4.3,46.7
0060,62.6,33.0,43.5
0061,18.1,0.0,13.7
0062,29.1,0.0,23.7
0063,52.8,16.3,28.8
0064,59.1,35.6,49.8
0065,33.9,11.8,29.2
0066,18.2,0.0,6.5
0068,0.0,0.0,0.0
0069,49.0,9.3,29.2
0070,63.4,33.8,51.4
0071,38.5,10.5,33.0
0072,22.1,0.0,16.2
0073,41.9,14.1,33.6
0074,43.4,23.1,37.9
0075,59.2,4.4,44.7
0077,40.7,28.8,34.6
0078,14.8,0.0,4.2
0079,14.5,6.6,11.5
0080,52.0,6.1,35.4
0081,41.6,3.2,32.5
0082,48.5,0.0,41.0
0083,49.9,6.8,18.7
0084,47.6,4.2,40.6
0085,52.7,0.0,41.5
0086,44.6,39.7,43.3
0087,60.3,4.2,48.2
0088,21.0,0.0,15.3
0089,34.5,0.0,21.9
0090,61.6,61.6,61.6
0091,81.2,35.7,55.4
0092,3.3,0.8,1.7
0093,58.6,13.2,45.5
0094,37.9,2.1,20.4
0095,49.3,7.1,15.3
0097,46.0,0.0,21.5
0098,42.4,1.9,23.1
0099,32.4,0.0,8.4
0100,37.3,3.0,22.9
0101,3.8,0.0,0.7
0102,49.2,16.4,28.7
0103,1.3,0.0,0.7
0104,28.3,0.0,22.5
0105,53.8,23.2,27.3
0106,48.2,20.2,35.7
0107,45.5,7.2,28.6
0108,22.0,22.0,22.0
0109,33.0,0.0,4.7
0110,50.6,0.0,8.4
0111,26.7,21.3,24.1
0112,30.9,22.7,24.1
0113,31.6,23.9,28.5
0114,32.2,0.0,26.6
0115,31.4,4.2,22.0
0116,57.5,0.0,10.8
0117,32.0,4.5,26.1
0118,53.5,19.4,31.1
0120,5.9,0.0,1.2
0121,52.4,0.0,30.0
0122,50.2,26.4,42.4
0123,18.7,3.2,10.9
0124,3.9,0.0,1.1
0125,46.9,19.5,31.1
0126,68.7,14.9,40.7
0127,35.0,0.0,18.5
0128,25.5,9.5,13.1
0129,49.6,0.8,30.6
0130,50.8,2.1,31.2
0131,42.5,18.6,29.5
0132,26.1,17.6,21.9
0133,50.8,2.1,30.8
0134,60.3,28.6,48.9
0135,45.6,1.6,32.3
0137,56.8,26.7,48.6
0138,22.5,6.2,10.5
0139,116.7,48.1,67.8
0140,10.2,10.2,10.2
0141,41.0,0.0,31.0
0142,30.0,17.7,24.5
0144,40.2,17.7,34.4
0145,29.9,7.5,24.6
0146,40.3,0.0,7.5
0147,30.4,8.9,25.7
0148,52.8,8.3,42.9
0149,62.6,0.0,50.6
0150,33.8,10.6,20.4
0151,67.1,54.2,60.5
0152,43.3,21.7,31.9
0153,38.7,29.0,31.8
0154,38.6,3.2,30.9
0155,37.8,1.8,10.9
0156,57.7,31.6,43.6
0157,53.3,0.0,41.6
0158,62.3,26.8,56.5
0159,59.2,29.8,45.2
0160,60.6,36.1,50.1
0161,63.8,36.5,51.7
0162,114.3,33.1,49.2
0163,54.1,4.3,42.5
0164,56.4,4.2,46.8
0165,48.2,13.0,43.6
0166,90.5,43.2,59.2
0167,56.8,36.8,46.7
0168,43.3,6.0,36.5
0169,26.8,3.3,15.8
0171,65.5,34.1,48.0
0172,67.3,45.3,59.2
0173,54.1,39.0,45.2
0174,39.1,28.7,34.4
0175,46.4,34.2,40.9
0176,56.0,27.6,48.8
0177,42.1,11.3,38.0
0178,3.2,2.1,2.5
0179,49.0,31.9,44.2
0180,49.0,49.0,49.0
0181,54.4,26.9,40.9
0182,52.9,35.9,41.6
0183,42.5,36.2,39.4
0184,57.1,12.0,42.9
0185,48.9,6.8,41.4
0186,14.4,3.4,9.2
0187,58.8,43.8,47.9
0188,58.8,0.2,13.8
0189,69.5,42.9,49.2
0190,67.4,34.1,44.0
0191,38.6,16.6,34.7
0192,64.6,32.6,44.1
0193,50.7,4.4,42.2
