ID,start_frame,end_frame
3396,43551,43554
3460,45234,45238
3460,45241,45255
3460,45264,45269
3460,45277,45280
3460,45288,45296
3460,45304,45337
3460,45345,45371
3460,45386,45386
3472,45463,45469
3472,45481,45483
3472,45499,45500
3472,45503,45503
3472,45507,45508
3472,45512,45512
3481,45617,45635
3481,45637,45637
3481,45640,45655
3481,45659,45662
3487,45726,45729
3487,45731,45741
3487,45752,45753
3491,45883,45911
3492,45883,45911
3494,45883,45911
3495,45862,45877
3731,48240,48265
3736,48442,48446
3736,48454,48463
3738,48246,48269
3741,48240,48256
3744,48240,48249
3744,48252,48268
3745,48268,48269
3749,48579,48581
3750,48496,48520
3753,48557,48569
3755,48636,48649
3760,48643,48652
3762,48792,48802
3769,48852,48863
3772,48918,48927
3780,48970,48980
3786,49022,49030
3788,49069,49077
3788,49124,49137
3788,49143,49147
3795,49124,49137
3796,49151,49153
3865,50598,50602
3865,50605,50626
3905,51482,51510
3906,51482,51510
3909,51485,51510
