ID,Max Velocity(km/h),Min Velocity(km/h),Avg Velocity(km/h)
0001,6.5,1.5,5.1
0002,18.5,2.0,13.8
0003,18.6,7.4,15.3
0004,60.2,14.8,42.6
0005,20.4,0.0,14.0
0006,47.8,23.2,41.4
0007,36.0,8.5,16.2
0008,73.4,49.2,60.4
0009,76.1,14.5,50.6
0010,44.3,14.7,29.9
0011,140.5,5.3,60.1
0012,74.1,14.2,39.0
0013,11.0,11.0,11.0
0014,141.0,10.6,23.1
0015,90.2,26.4,46.0
0016,76.8,8.4,18.9
0017,127.9,29.3,54.8
0018,97.2,0.0,66.3
0019,105.2,32.0,58.4
0021,103.7,4.0,28.2
0022,49.9,0.0,21.6
0025,85.0,9.0,60.0
0026,56.6,25.4,38.7
0027,35.7,2.1,20.3
0028,41.1,23.1,29.0
0030,51.3,8.9,36.5
0031,32.6,2.6,19.1
0032,82.0,0.0,59.4
0033,78.4,5.5,62.7
0034,11.1,8.5,10.2
0035,127.5,9.1,21.3
0036,101.3,34.4,64.3
0037,23.9,0.0,18.4
0038,35.8,0.0,17.9
0039,57.6,0.0,17.3
0040,12.8,7.1,10.4
0041,39.9,37.3,38.6
0042,39.0,0.0,19.0
0043,27.2,0.0,18.6
0044,28.7,0.0,18.3
0045,87.6,43.7,62.7
0046,43.2,4.5,30.3
0047,93.8,36.4,62.3
0048,71.5,37.3,56.5
0049,25.7,0.0,16.1
0050,75.1,41.0,56.4
0051,7.6,7.6,7.6
0052,97.2,72.4,87.7
0053,54.7,54.7,54.7
0054,87.8,57.6,74.4
0055,74.1,30.0,51.4
0056,74.3,26.7,43.1
0057,86.4,40.7,66.4
0060,49.6,37.8,43.9
0061,80.9,12.8,51.3
0062,29.2,15.2,23.4
0064,92.9,23.1,61.8
0065,91.0,12.3,52.0
0066,34.5,13.5,25.4
0067,66.5,8.4,44.2
0068,133.6,20.5,57.1
0069,59.4,14.2,45.1
0070,75.3,5.8,47.7
0071,21.1,16.3,17.7
0072,64.8,11.5,44.8
0073,59.0,0.0,45.0
0074,71.6,24.5,52.7
0075,60.6,3.8,40.4
0076,74.7,13.1,47.2
0077,62.6,19.8,40.0
0078,107.1,7.4,40.2
0079,104.7,15.9,56.5
0080,47.0,27.2,37.7
0081,45.9,2.4,37.5
0082,58.5,3.5,39.7
0083,61.0,30.7,47.4
0084,0.0,0.0,0.0
0087,27.1,13.4,19.8
0088,46.8,46.8,46.8
0089,49.2,6.9,37.3
0090,72.3,29.4,48.9
0091,56.2,5.6,33.5
0092,61.1,10.1,37.7
0094,66.6,9.9,36.8
0095,19.2,3.1,13.3
0096,65.2,9.8,35.6
0097,58.4,1.9,34.6
0098,78.0,0.0,43.3
0099,52.4,11.8,40.8
0100,71.5,3.7,26.6
0101,108.6,57.7,83.1
0102,71.1,0.2,12.9
0103,50.8,6.0,35.0
0104,72.2,22.8,43.0
0105,84.8,84.8,84.8
0106,68.5,11.2,54.4
0107,129.4,0.1,16.2
0108,43.1,43.1,43.1
0109,106.2,36.1,53.4
0110,65.3,0.0,17.1
0111,0.0,0.0,0.0
0112,73.5,18.7,50.0
0113,72.9,0.0,15.3
0114,35.6,0.0,22.6
0115,114.7,10.0,43.8
0116,115.4,0.0,56.8
0117,59.2,4.4,46.8
0118,105.2,0.0,22.7
0119,118.6,8.1,38.5
0120,84.3,0.0,29.4
0121,69.7,0.0,26.8
0122,117.7,0.1,21.1
0123,56.3,0.0,20.1
0124,70.8,70.8,70.8
0125,76.4,0.0,46.4
0126,97.0,40.4,64.9
0127,91.9,14.9,38.4
0128,62.3,0.0,31.6
0129,58.3,58.3,58.3
0130,100.4,0.0,19.5
0131,77.9,0.0,30.1
0132,101.2,35.7,56.6
0133,40.6,0.0,27.0
0134,64.9,64.9,64.9
0135,49.9,3.7,30.6
0136,69.7,5.4,32.3
0137,92.9,0.1,17.0
0138,77.3,39.2,51.7
0139,65.3,55.6,63.3
0140,92.7,14.2,63.4
0141,56.4,0.0,20.1
0142,83.4,39.1,57.9
0143,49.6,0.0,32.3
0144,49.0,0.0,33.7
0145,118.8,7.9,29.1
0146,35.9,0.0,17.9
0147,54.4,5.7,41.7
0148,83.6,5.8,56.0
0149,25.4,1.2,10.4
0151,40.7,2.3,21.6
0152,100.6,27.0,75.2
0153,43.8,0.0,27.6
0154,74.0,0.0,23.9
0155,142.6,0.0,81.1
0156,50.4,0.0,20.2
0157,0.0,0.0,0.0
0158,16.2,0.0,8.0
0159,48.5,0.0,21.0
0160,68.6,67.1,67.9
0161,125.5,9.4,34.1
0162,80.7,5.1,43.3
0163,27.7,6.9,11.7
0165,34.8,19.3,25.7
0166,19.0,19.0,19.0
0167,34.2,0.0,12.0
0168,42.3,0.0,24.3
0170,40.2,0.0,27.2
0171,56.9,8.8,22.3
0172,3.7,0.3,0.8
0174,76.5,38.3,56.8
0175,85.0,42.5,67.2
0176,10.1,0.0,3.8
0177,76.3,37.0,53.9
0178,25.6,0.0,16.3
0179,26.2,8.2,18.0
0180,76.8,9.1,25.9
0181,25.4,0.0,13.8
0182,18.7,0.0,11.7
0183,90.7,36.7,59.6
0184,73.4,4.1,34.3
0185,32.2,0.0,18.3
0186,34.6,0.0,21.0
0187,25.2,0.0,12.0
0188,30.7,0.0,21.6
0189,23.8,3.2,18.0
0191,69.8,17.4,33.8
0193,75.3,34.7,50.3
0194,38.0,0.9,21.5
0195,36.1,0.0,24.0
0196,37.3,9.7,28.6
0197,53.3,0.0,36.4
0198,86.1,5.0,26.9
0199,52.8,52.8,52.8
0200,14.0,13.2,13.6
0201,74.8,12.8,45.7
0202,51.1,0.0,36.9
0203,45.9,0.0,24.8
0205,76.3,40.5,56.4
0206,68.0,21.1,45.9
0207,113.1,7.9,21.4
0208,48.2,5.4,33.1
0209,44.8,0.0,31.7
0210,71.1,21.9,55.1
0211,93.0,10.6,37.0
0212,61.9,10.5,48.2
0213,52.3,0.0,33.0
0214,98.4,10.3,25.3
0215,61.4,28.8,50.9
0216,80.3,0.0,47.2
0217,50.5,8.5,33.6
0218,69.1,23.0,46.6
0219,61.6,2.7,36.8
0220,74.2,10.0,54.1
0221,60.3,0.0,38.3
0222,63.1,5.2,45.5
0223,100.0,16.8,35.6
0224,64.6,0.0,37.5
0225,75.5,17.8,40.4
0226,106.6,9.4,29.7
0227,83.6,10.2,58.8
0228,76.4,16.5,52.7
0229,73.8,0.0,40.0
0230,63.3,0.0,35.6
0231,97.5,6.9,25.4
0232,42.8,0.0,33.1
0233,105.2,3.2,49.9
0234,126.3,126.3,126.3
0235,60.8,7.1,22.5
0236,95.5,19.1,46.8
0237,91.4,19.4,42.9
0238,88.7,3.9,23.8
0239,38.3,38.3,38.3
0240,52.0,34.6,46.0
0241,66.0,0.0,56.4
0242,43.1,0.0,29.0
0244,61.8,40.3,46.8
0245,73.4,0.0,51.3
0248,54.2,13.1,35.0
0249,64.3,42.8,53.5
0250,75.6,35.7,54.8
0251,67.4,0.0,22.8
0252,66.0,0.0,43.1
0253,64.6,40.6,53.2
0254,87.2,10.7,45.7
0256,53.1,13.9,23.8
0257,143.4,86.4,121.0
0258,17.1,9.1,14.1
0259,55.2,5.8,39.0
0260,53.1,53.1,53.1
0261,19.1,12.8,15.5
0262,9.1,9.1,9.1
0263,81.1,8.8,45.3
0264,122.9,20.6,50.0
0265,9.3,1.7,6.3
0266,95.7,21.1,41.1
0267,23.7,15.8,19.7
0269,69.6,0.0,38.4
0270,74.1,23.1,47.6
0272,90.1,39.0,51.5
0273,99.2,31.0,42.1
0274,45.7,0.0,32.3
0276,23.9,16.0,19.9
0277,46.4,23.3,33.7
0278,78.6,32.1,49.3
0279,69.7,36.3,47.6
0280,112.4,0.0,55.1
0281,38.6,11.9,31.1
0282,8.5,8.5,8.5
0284,34.9,0.0,19.4
0285,43.6,4.3,21.1
0286,70.4,47.1,55.7
0287,89.1,9.5,23.4
0288,100.7,18.3,43.7
0289,92.5,24.5,49.9
0290,44.6,44.4,44.5
0291,71.3,3.7,20.6
0294,108.8,0.0,59.7
0296,40.5,35.0,36.9
0297,95.6,54.8,72.7
0298,49.1,33.1,41.8
0299,23.5,23.5,23.5
0301,29.4,29.4,29.4
0302,49.2,4.0,41.2
0303,8.0,0.0,5.6
0305,106.7,3.2,81.8
0306,58.4,4.8,40.6
0307,47.5,25.5,30.8
0308,52.5,7.6,45.4
0309,24.8,3.8,14.3
0310,56.7,0.0,44.1
0312,59.9,5.9,44.5
0313,110.7,15.5,26.8
0315,65.0,37.7,51.4
0317,52.2,52.2,52.2
0318,16.9,16.9,16.9
0319,115.9,67.1,93.0
0320,3.1,3.1,3.1
0321,51.8,44.4,48.1
0322,73.9,5.8,41.6
0323,46.2,34.3,41.9
0324,18.6,15.1,17.0
0325,57.9,0.0,26.0
0326,24.4,14.3,18.0
0327,46.1,20.1,35.3
0328,55.6,5.9,41.4
0329,12.5,5.6,8.4
0330,67.3,0.0,41.0
0331,12.8,10.1,11.8
0332,39.3,18.9,31.9
0334,12.4,5.3,8.6
0335,62.7,0.0,25.8
0336,43.8,5.5,27.5
0337,96.1,23.7,46.5
0338,88.4,20.1,37.8
0339,60.7,0.0,21.9
0341,88.2,32.5,56.7
0342,62.2,0.0,45.5
0343,63.0,4.3,20.9
0345,27.1,0.0,11.0
0346,11.8,7.2,8.1
0347,63.6,0.0,46.0
0348,120.1,72.0,95.4
0349,92.5,0.0,6.4
0350,32.5,2.3,18.4
0352,24.0,2.0,13.6
0353,66.9,0.0,37.0
0354,67.3,0.0,13.1
0356,88.2,0.0,7.5
0357,16.7,11.4,14.0
0358,71.2,39.7,51.2
0359,62.4,2.6,20.5
0360,74.7,40.3,55.1
0361,86.5,32.8,55.1
0362,84.8,32.1,59.0
0363,3.5,3.5,3.5
0364,88.5,30.6,56.6
0365,66.2,36.5,49.4
0366,9.0,0.0,2.2
0367,67.1,23.8,42.8
0368,98.4,4.3,42.6
0369,72.6,30.1,49.2
0371,29.9,21.0,27.5
0372,60.7,10.1,45.9
0373,17.9,3.6,6.9
0374,72.3,27.4,43.7
0375,28.5,0.0,20.2
0376,25.1,15.3,21.9
0377,1.8,1.8,1.8
0378,97.0,8.4,66.2
0379,5.9,2.4,4.1
0380,81.9,31.1,68.7
0381,82.7,5.0,52.8
0382,74.9,3.8,49.1
0383,71.7,0.0,44.8
0384,64.6,9.9,42.3
0385,68.5,5.1,42.1
0386,4.5,0.0,2.6
0387,84.1,0.0,53.2
0388,81.8,0.0,45.9
0389,58.2,6.0,42.2
0390,0.4,0.0,0.1
0391,71.8,12.7,44.5
0392,60.2,8.4,43.2
0393,61.3,9.0,36.7
0394,76.7,1.9,50.2
0395,67.8,14.0,47.7
0396,11.2,0.0,3.3
0397,49.6,2.0,35.7
0398,73.1,6.1,50.1
0399,58.0,0.0,37.0
0400,32.9,27.5,29.3
0401,52.0,6.1,36.9
0402,38.1,28.3,34.0
0403,55.1,4.3,39.5
0404,70.7,7.2,48.9
0405,6.2,2.5,4.3
0406,11.5,0.0,6.0
0407,98.4,8.6,35.1
0408,7.5,2.1,5.2
0409,53.0,4.0,37.4
0411,56.3,31.4,48.7
0412,93.7,0.0,13.8
0413,36.4,0.0,17.5
0414,68.1,17.5,26.3
0415,41.7,8.5,27.9
0416,89.0,15.9,44.9
0417,66.6,8.2,45.2
0418,101.4,0.0,17.4
0419,55.6,6.3,42.4
0420,59.8,0.0,14.2
0421,72.6,28.9,52.9
0422,50.8,50.8,50.8
0423,52.3,0.0,16.3
0424,101.2,0.0,16.5
0425,9.1,4.1,6.9
0426,58.8,58.8,58.8
0427,96.2,40.7,58.4
0428,54.9,8.1,39.4
0429,56.0,33.1,49.2
0430,117.4,0.0,18.5
0431,45.0,37.0,40.0
0433,74.3,8.7,45.7
0434,56.6,41.9,47.8
0435,59.8,6.8,38.2
0436,66.4,44.3,54.3
0437,43.5,11.6,35.8
0438,27.9,0.0,10.2
0439,80.9,40.4,52.8
0440,66.8,2.0,38.7
0441,67.5,7.5,44.0
0442,58.3,0.0,45.1
0443,8.2,0.0,3.1
0444,56.9,7.6,36.4
0445,97.6,5.9,51.0
0447,65.6,0.0,42.3
0448,29.3,7.6,21.7
0449,56.3,5.9,37.9
0450,70.4,3.9,40.9
0451,117.6,39.6,71.2
0452,35.3,29.8,33.4
0453,11.1,0.0,4.7
0454,50.5,21.6,39.8
0455,27.2,6.2,21.0
0456,107.2,7.1,37.0
0457,65.3,0.0,23.8
0458,74.6,26.6,35.6
0459,20.8,6.0,11.1
0460,56.6,0.0,38.3
0461,25.5,4.2,15.3
0462,71.0,37.2,62.9
0463,61.2,4.8,45.4
0464,86.9,7.8,39.2
0465,29.5,20.6,24.8
0466,56.7,24.8,39.8
0467,71.2,49.9,63.1
0468,89.2,65.0,71.8
0469,86.4,11.7,57.0
0470,103.7,0.0,19.5
0471,44.5,0.0,9.4
0472,86.2,56.6,66.7
0473,76.1,20.4,28.7
0474,73.1,10.5,49.5
0475,53.5,6.1,33.4
0476,25.0,0.0,16.2
0477,42.1,0.0,30.8
0478,36.9,6.3,30.1
0479,64.6,5.6,35.9
0480,68.4,8.2,37.2
0481,41.7,13.6,24.6
0482,30.0,0.0,13.1
0483,45.0,0.0,26.4
0484,4.6,0.0,1.0
0485,53.4,6.1,33.9
0486,44.3,0.0,21.6
0487,44.5,0.0,20.0
0488,55.5,16.5,32.1
0489,65.9,14.6,29.1
0490,58.6,6.0,32.1
0491,55.2,3.5,31.8
0492,39.5,4.0,16.3
0493,76.2,0.0,50.3
0494,3.3,3.3,3.3
0495,30.4,2.1,21.4
0496,59.2,34.7,50.0
0497,6.5,1.5,5.3
0499,0.0,0.0,0.0
0500,62.0,23.6,37.0
0501,141.5,7.3,22.8
0502,35.4,9.8,24.4
0503,36.7,8.7,14.9
0504,0.0,0.0,0.0
0505,25.4,1.4,15.1
0506,34.3,34.3,34.3
0507,54.4,3.1,22.3
0508,42.2,5.1,22.0
0509,37.8,0.0,21.9
0510,0.0,0.0,0.0
0511,17.8,0.0,8.8
0512,11.6,0.0,5.9
0513,10.5,3.1,8.5
0514,49.0,48.8,48.9
