ID,Max Velocity(km/h),Min Velocity(km/h),Avg Velocity(km/h)
0228,79.3,34.0,50.9
0229,2.0,0.0,0.6
0230,66.9,11.8,48.0
0231,34.7,0.0,25.3
0232,47.5,23.0,37.1
0233,13.7,0.0,8.2
0234,70.0,3.3,46.9
0235,103.0,26.5,59.0
0236,38.4,0.0,7.1
0237,30.2,0.0,4.0
0238,71.3,33.4,53.5
0239,59.1,31.4,47.5
0240,2.3,0.0,1.0
0241,18.8,0.0,6.0
0242,88.1,34.1,59.0
0243,72.7,34.0,51.4
0244,71.0,13.0,53.4
0246,72.5,39.4,57.5
0247,35.7,0.0,23.5
0248,75.8,9.1,44.5
0250,110.8,1.7,12.6
0252,10.1,0.0,2.3
0253,30.2,6.6,14.1
0254,10.8,0.0,7.6
0255,78.0,24.7,49.3
0256,20.3,0.0,12.3
0257,22.4,0.0,14.7
0258,66.2,30.2,45.5
0259,9.0,0.0,5.6
0260,54.8,4.7,11.6
0261,8.1,0.0,5.6
0262,24.1,0.0,11.3
0263,37.9,7.4,21.6
0264,21.5,0.0,9.4
0265,91.6,16.3,54.2
0266,34.9,4.1,13.6
0267,91.1,18.2,53.4
0268,73.2,8.0,46.4
0269,80.1,40.1,57.6
0270,0.0,0.0,0.0
0271,37.9,0.0,6.3
0272,25.2,2.8,11.5
0273,13.3,0.0,6.6
0274,65.9,12.0,41.1
0275,66.8,12.8,47.3
0276,58.2,3.9,36.0
0278,30.2,26.9,28.6
0280,6.7,0.0,3.8
0281,68.0,43.3,61.6
0282,50.8,4.0,33.3
0283,42.4,2.0,29.6
0284,78.2,6.4,34.0
0286,58.2,21.6,40.0
0287,63.7,3.9,39.4
0288,38.9,2.0,27.7
0289,52.7,0.0,29.9
0291,32.5,13.4,26.8
0292,38.0,3.0,26.4
0293,13.1,6.0,8.3
0294,41.0,23.9,32.6
0295,12.8,12.8,12.8
0296,8.3,0.0,2.0
0298,51.4,10.5,43.2
0300,44.3,0.0,21.0
0302,68.8,68.8,68.8
0303,24.1,0.4,10.2
0304,67.9,3.8,42.1
0305,58.8,28.5,38.8
0306,20.1,0.0,10.7
0307,22.2,6.2,11.9
0308,60.8,1.9,40.0
0309,115.6,0.0,23.2
0310,51.9,17.7,26.5
0311,12.0,4.0,9.8
0312,90.7,0.0,14.6
0313,25.4,0.0,11.3
0314,51.9,14.4,27.2
0315,139.1,71.2,103.0
0316,59.6,9.2,40.0
