start_sec,end_sec,NE_left,SW_left,crosswalk
0.0,54.0,RED,GREEN,RED
54.0,57.0,RED,YELLOW,RED
57.0,63.0,RED,RED,RED
63.0,132.0,RED,RED,GREEN
132.0,135.0,RED,RED,RED
135.0,166.0,GREEN,RED,RED
166.0,169.0,YELLOW,RED,RED
169.0,244.0,RED,GREEN,RED
244.0,247.0,RED,YELLOW,RED
247.0,253.0,RED,RED,RED
253.0,322.0,RED,RED,GREEN
322.0,325.0,RED,RED,RED
325.0,356.0,GREEN,RED,RED
356.0,359.0,YELLOW,RED,RED
359.0,434.0,RED,GREEN,RED
434.0,437.0,RED,YELLOW,RED
437.0,443.0,RED,RED,RED
443.0,512.0,RED,RED,GREEN
512.0,515.0,RED,RED,RED
515.0,546.0,GREEN,RED,RED
546.0,549.0,YELLOW,RED,RED
549.0,600.0,RED,GREEN,RED
